# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,21,8,0.026767
2018-06-14,129,11,0.028051
2018-06-14,97,30,0.072783
2018-06-14,105,18,0.048538
2018-06-14,81,13,0.02883
2018-06-14,129,21,0.018904
2018-06-14,121,14,0.009282
2018-06-14,77,16,0.022668
2018-06-14,141,29,0.014177
2018-06-14,73,5,0.065771
2018-06-14,65,21,0.016193
2018-06-14,121,24,0.010682
2018-06-14,53,7,0.020984
2018-06-14,81,29,0.16842
2018-06-14,141,20,0.008962
2018-06-14,73,6,0.04793
2018-06-14,1,25,0.021346
2018-06-14,93,8,0.043502
2018-06-14,121,2,0.041897
2018-06-14,41,2,0.102838
2018-06-14,29,29,0.042992
2018-06-14,101,30,0.023655
2018-06-14,25,30,0.071538
2018-06-14,33,16,0.081677
2018-06-14,37,25,0.041634
2018-06-14,137,14,0.010848
2018-06-14,93,3,0.010849
2018-06-14,21,30,0.04525
2018-06-14,17,25,0.021204
2018-06-14,97,29,0.050341
2018-06-14,121,21,0.006756
2018-06-14,17,7,0.029681
2018-06-14,113,2,0.032377
2018-06-14,113,15,0.007493
2018-06-14,17,15,0.018002
2018-06-14,125,18,0.00446
2018-06-14,29,25,0.015946
2018-06-14,5,9,0.01291
2018-06-14,101,13,0.080668
2018-06-14,137,19,0.012521
2018-06-14,81,3,0.035241
2018-06-14,45,10,0.02433
2018-06-14,133,2,0.035442
2018-06-14,73,7,0.065836
2018-06-14,133,16,0.01338
2018-06-14,89,9,0.01886
2018-06-14,129,17,0.054026
2018-06-14,97,17,0.007618
2018-06-14,137,16,0.036259
2018-06-14,141,24,0.0098
2018-06-14,133,8,0.010735
2018-06-14,125,4,0.019956
2018-06-14,141,8,0.029223
2018-06-14,17,2,0.01268
2018-06-14,109,28,0.022588
2018-06-14,13,3,0.027744
2018-06-14,53,10,0.136762
2018-06-14,141,4,0.011778
2018-06-14,141,3,0.004825
2018-06-14,0,23,0.009194
2018-06-14,17,30,0.128675
2018-06-14,137,2,0.01296
2018-06-14,65,11,0.039419
2018-06-14,1,11,0.035817
2018-06-14,141,11,0.016308
2018-06-14,93,13,0.01694
2018-06-14,137,18,0.004869
2018-06-14,9,24,0.07297
2018-06-14,137,5,0.012636
2018-06-14,129,22,0.011563
2018-06-14,77,22,0.023805
2018-06-14,49,2,0.054552
2018-06-14,9,9,0.00998
2018-06-14,61,14,0.06936
2018-06-14,133,17,0.010576
2018-06-14,121,19,0.023754
