date,first_row,range,lai
6/8/2018,18,45,5.405219
6/8/2018,9,57,5.98069
6/8/2018,8,25,5.897886
6/8/2018,21,105,5.715046
6/8/2018,21,101,5.580799
6/8/2018,29,97,5.491019
6/8/2018,28,89,5.86918
6/8/2018,0,8,5.86918
6/8/2018,8,81,5.381514
6/8/2018,4,109,5.316227
6/8/2018,6,97,6.02673
6/8/2018,14,85,5.982074
6/8/2018,6,49,5.725118
6/8/2018,12,93,5.784592
6/8/2018,17,97,5.495946
6/8/2018,10,105,5.934063
6/8/2018,11,137,5.920343
6/8/2018,9,85,5.965654
6/8/2018,23,57,5.729257
6/8/2018,29,41,5.907136
6/8/2018,28,17,5.762564
6/8/2018,8,129,6.058956
6/8/2018,30,101,5.777898
6/8/2018,5,73,5.688001
6/8/2018,6,125,5.686076
6/8/2018,19,89,5.849965
6/8/2018,19,105,5.861291
6/8/2018,16,121,5.917822
6/8/2018,5,37,5.679457
6/8/2018,1,53,5.94108
6/8/2018,2,13,5.37315
6/8/2018,14,109,5.676903
6/8/2018,25,37,5.873624
6/8/2018,21,1,5.930815
6/8/2018,11,45,5.891339
6/8/2018,22,21,5.505807
6/8/2018,30,81,5.699165
6/8/2018,29,121,6.052931
6/8/2018,26,25,5.381616
6/8/2018,16,101,5.895107
6/8/2018,23,81,5.815159
6/8/2018,20,77,5.942715
6/8/2018,16,53,5.535523
6/8/2018,18,121,5.770326
6/8/2018,15,69,5.548296
6/8/2018,15,61,5.773702
6/8/2018,24,101,5.512475
6/8/2018,17,13,5.978917
6/8/2018,16,1,6.038863
6/8/2018,13,33,5.946413
6/8/2018,26,133,5.610688
6/8/2018,17,57,6.065605
6/8/2018,25,53,5.669875
6/8/2018,22,5,5.921517
6/8/2018,17,101,5.732962
6/8/2018,26,13,5.953739
6/8/2018,27,57,5.605167
6/8/2018,3,121,5.315119
6/8/2018,21,5,5.576997
6/8/2018,3,33,5.57276
6/8/2018,11,105,5.982781
6/8/2018,26,117,5.484453
6/8/2018,1,81,5.693376
6/8/2018,19,109,5.881694
6/8/2018,2,37,5.55961
6/8/2018,30,113,5.681795
6/8/2018,13,105,5.863386
6/8/2018,3,109,6.149797
6/8/2018,12,117,5.57001
6/8/2018,25,9,5.966714
6/8/2018,11,113,6.147118
6/8/2018,4,93,5.49168
6/8/2018,29,109,5.879958
6/8/2018,3,85,5.657033
6/8/2018,11,21,5.811179
6/8/2018,9,45,5.706901
6/8/2018,9,33,5.958166
6/8/2018,24,17,5.827949
6/8/2018,20,33,5.866122
6/8/2018,2,73,5.850485
6/8/2018,19,93,6.01018
6/8/2018,5,97,6.17193
6/8/2018,19,129,5.866684
6/8/2018,22,85,6.160696
6/8/2018,18,85,6.143513
6/8/2018,30,141,5.600646
6/8/2018,5,105,6.001342
6/8/2018,4,101,5.625821
6/8/2018,23,21,5.931082
6/8/2018,14,0,5.964034
6/8/2018,11,33,5.833508
6/8/2018,21,121,5.698506
6/8/2018,13,53,5.775409
6/8/2018,10,13,6.02502
6/8/2018,8,101,5.311413
6/8/2018,4,9,6.042828
6/8/2018,20,129,5.760751
6/8/2018,24,137,5.668346
6/8/2018,30,53,5.925605
6/8/2018,2,121,5.395392
6/8/2018,26,0,5.971884
6/8/2018,12,109,5.691166
6/8/2018,30,61,5.491333
6/8/2018,8,0,6.063231
6/8/2018,13,109,5.984023
6/8/2018,24,97,5.790436
6/8/2018,24,9,6.178753
6/8/2018,25,41,5.814745
6/8/2018,10,133,5.384322
6/8/2018,16,125,5.796567
6/8/2018,12,73,6.127847
6/8/2018,25,25,5.940603
6/8/2018,15,81,5.708822
6/8/2018,25,121,5.307679
6/8/2018,30,93,5.431987
6/8/2018,20,21,5.71888
6/8/2018,6,33,5.827416
6/8/2018,13,93,6.157749
6/8/2018,20,5,5.783904
6/8/2018,26,61,5.143156
6/8/2018,10,81,5.369864
6/8/2018,28,65,5.599344
6/8/2018,12,49,5.989343
6/8/2018,28,77,5.798808
6/8/2018,17,21,5.724155
6/8/2018,2,1,5.610688
6/8/2018,28,73,5.663458
6/8/2018,11,97,5.926
6/8/2018,27,33,5.574352
6/8/2018,8,137,5.781568
6/8/2018,13,133,5.243302
6/8/2018,31,137,5.891764
6/8/2018,23,13,5.968923
6/8/2018,3,141,5.712432
6/8/2018,25,97,5.869074
6/8/2018,29,141,5.509508
6/8/2018,1,77,5.613885
6/8/2018,26,125,5.740944
6/8/2018,3,53,5.761187
6/8/2018,6,9,6.205898
6/8/2018,26,45,5.659432
6/8/2018,22,25,6.401443
6/8/2018,18,97,5.554558
6/8/2018,20,37,5.57396
6/8/2018,1,17,5.929222
6/8/2018,12,89,6.10334
6/8/2018,15,13,5.755966
6/8/2018,2,9,5.780218
6/8/2018,27,85,5.159047
6/8/2018,28,93,5.647868
6/8/2018,2,65,5.771432
6/8/2018,22,69,5.286296
6/8/2018,27,93,5.403986
6/8/2018,25,81,5.790748
6/8/2018,15,49,6.181662
6/8/2018,23,33,5.974281
6/8/2018,9,77,5.924748
6/8/2018,7,45,5.629001
6/8/2018,19,117,6.042314
6/8/2018,18,13,5.68795
6/8/2018,13,117,5.777447
6/8/2018,9,93,5.604688
6/8/2018,16,81,5.891718
6/8/2018,11,133,5.389988
6/8/2018,3,73,6.059064
6/8/2018,7,77,5.824099
6/8/2018,31,125,5.413144
6/8/2018,9,37,5.704001
6/8/2018,20,13,5.881277
6/8/2018,27,101,5.621476
6/8/2018,9,5,5.713057
6/8/2018,13,29,5.426099
6/8/2018,9,101,5.456513
6/8/2018,2,21,5.897925
6/8/2018,9,113,6.064977
6/8/2018,21,81,5.991202
6/8/2018,3,65,5.836143
6/8/2018,8,61,5.846142
6/8/2018,17,121,5.862676
6/8/2018,11,85,5.961532
6/8/2018,31,101,5.95393
6/8/2018,19,25,6.227004
6/8/2018,15,0,6.021034
6/8/2018,4,61,5.224654
6/8/2018,31,29,5.705149
6/8/2018,8,49,5.771324
6/8/2018,26,1,5.894561
6/8/2018,11,1,6.071465
6/8/2018,9,141,5.448724
6/8/2018,27,25,5.321562
6/8/2018,6,61,5.781766
6/8/2018,30,29,5.203061
6/8/2018,23,77,5.803287
6/8/2018,11,73,6.08623
6/8/2018,20,137,5.816447
6/8/2018,8,133,5.730157
6/8/2018,29,49,5.819522
6/8/2018,12,53,5.989013
6/8/2018,5,85,6.102528
6/8/2018,26,17,5.92196
6/8/2018,14,49,6.0526
6/8/2018,2,105,6.0004
6/8/2018,2,117,5.377273
6/8/2018,8,45,5.529368
6/8/2018,13,41,5.829771
6/8/2018,12,1,6.203635
6/8/2018,7,93,5.582358
6/8/2018,1,73,5.870839
6/8/2018,27,69,5.395108
6/8/2018,9,1,5.757873
6/8/2018,1,61,5.304655
6/8/2018,20,85,6.228619
6/8/2018,29,101,5.762546
6/8/2018,31,57,5.374909
6/8/2018,15,133,5.583867
6/8/2018,24,89,5.623546
6/8/2018,14,129,5.848527
6/8/2018,10,101,5.401382
6/8/2018,5,109,6.014764
6/8/2018,14,21,5.839798
6/8/2018,26,81,5.767665
6/8/2018,9,105,5.713575
6/8/2018,18,101,5.471991
6/8/2018,2,0,5.113658
6/8/2018,13,73,5.839708
6/8/2018,24,25,5.951532
6/8/2018,20,25,5.863901
6/8/2018,26,129,5.728055
6/8/2018,31,17,5.64996
6/8/2018,19,69,5.674561
6/8/2018,25,5,5.641078
6/8/2018,31,89,5.786903
6/8/2018,12,141,5.7469
6/8/2018,23,85,5.71109
6/8/2018,14,1,5.994447
6/8/2018,31,109,5.747457
6/8/2018,8,13,5.841496
6/8/2018,10,33,5.905582
6/8/2018,4,13,6.085941
6/8/2018,11,5,5.656948
6/8/2018,25,93,5.698897
6/8/2018,21,113,5.623968
6/8/2018,7,121,5.814895
6/8/2018,30,69,5.361198
6/8/2018,16,17,6.140114
6/8/2018,8,105,5.332498
6/8/2018,16,133,5.841496
6/8/2018,4,1,5.600836
6/8/2018,1,93,5.731124
6/8/2018,24,85,5.339443
6/8/2018,28,41,5.917456
